455,1279,139,85,0
341,853,139,85,0
227,1024,104,85,0
171,938,173,85,0
398,1365,139,85,0
625,1621,243,256,0
171,1194,139,171,0
398,1194,173,85,0
57,768,139,85,0
341,938,173,0,0
625,1450,173,85,0
284,1194,208,85,0
284,853,139,0,0
0,853,35,0,0
853,1706,69,85,0
796,2047,173,256,0
625,1621,104,256,0
455,1279,139,171,0
796,1535,243,171,0
455,1535,173,171,0
625,1194,243,85,0
455,1450,173,256,0
171,1365,0,85,0
455,1109,243,341,0
284,1194,312,85,0
398,853,208,85,0
398,1194,208,256,0
512,1279,173,85,0
512,1194,139,85,0
227,1024,208,85,0
284,938,208,85,0
625,1194,173,256,0
512,1791,173,0,0
1535,1024,1284,1109,1
1194,1024,1214,1194,1
1478,938,1353,1194,1
682,256,1041,1024,1
1251,682,1249,1194,1
796,682,1214,1024,1
1137,1109,1284,1279,1
341,341,798,768,1
1308,768,1249,1024,1
512,597,1006,1109,1
398,0,867,768,1
910,853,1110,1194,1
967,171,1041,768,1
1023,768,1284,1109,1
739,768,902,1024,1
1365,938,1180,1109,1
739,853,1214,1194,1
853,597,1076,768,1
1080,171,1214,1194,1
739,426,1006,853,1
910,1024,1318,1450,1
1023,682,1041,1024,1
1137,426,1353,1194,1
1023,682,1284,938,1
1194,768,1145,1024,1
1308,853,1180,1109,1
1422,682,1318,1109,1
1365,853,1388,1365,1
967,768,1214,1194,1
796,512,867,768,1
682,341,971,853,1
682,341,937,768,1
853,597,1006,938,1
967,597,1422,1279,1
1933,1535,1978,1791,2
1933,512,2047,1876,2
967,171,1388,1194,2
1478,1024,1631,1876,2
739,682,1353,1621,2
1933,682,1978,1621,2
1137,597,1353,1450,2
1365,1109,1631,1706,2
1649,1024,1735,1450,2
1080,682,1318,1450,2
1023,853,1353,1450,2
1194,682,1596,1706,2
1649,853,1665,1279,2
1763,682,1769,1535,2
2047,1535,1874,1621,2
1194,682,1596,1791,2
1137,682,1422,1194,2
1023,512,1596,1109,2
1933,853,1769,1876,2
1137,1194,1596,1962,2
1194,938,1561,1450,2
967,853,1318,1450,2
1478,938,1527,1706,2
1365,938,1596,1962,2
1478,938,1422,1876,2
853,597,1422,1535,2
1422,1024,1700,1876,2
1365,1109,1631,2047,2
1365,853,1457,1876,2
1137,426,1388,1535,2
1251,853,1457,1621,2
1080,1194,1527,1876,2
910,853,1422,1450,2
