7,19,2,1,0
5,13,2,1,0
3,16,2,1,0
3,14,3,1,0
6,21,2,1,0
9,25,4,4,0
3,18,2,3,0
6,18,3,1,0
1,12,2,1,0
5,14,3,0,0
9,22,3,1,0
4,18,3,1,0
4,13,2,0,0
0,13,1,0,0
13,26,1,1,0
12,31,3,4,0
9,25,2,4,0
7,19,2,3,0
12,23,4,3,0
7,23,3,3,0
9,18,4,1,0
7,22,3,4,0
3,21,0,1,0
7,17,4,5,0
4,18,5,1,0
6,13,3,1,0
6,18,3,4,0
8,19,3,1,0
8,18,2,1,0
3,16,3,1,0
4,14,3,1,0
9,18,3,4,0
8,27,3,0,0
10,28,2,1,0
5,14,3,1,0
6,16,1,1,0
10,19,2,1,0
5,21,2,0,0
1,13,2,1,0
7,18,3,1,0
6,19,2,3,0
2,4,2,3,0
1,16,2,1,0
6,19,3,6,0
7,23,5,4,0
4,13,2,3,0
7,23,3,1,0
3,16,2,1,0
9,22,3,1,0
6,17,2,1,0
23,16,19,17,1
18,16,18,18,1
22,14,20,18,1
10,4,16,16,1
19,10,19,18,1
12,10,18,16,1
17,17,19,19,1
5,5,12,12,1
20,12,19,16,1
8,9,15,17,1
6,0,13,12,1
14,13,17,18,1
15,3,16,12,1
15,12,19,17,1
11,12,14,16,1
21,14,18,17,1
11,13,18,18,1
13,9,16,12,1
16,3,18,18,1
11,6,15,13,1
14,16,20,22,1
15,10,16,16,1
17,6,20,18,1
15,10,19,14,1
18,12,17,16,1
20,13,18,17,1
22,10,20,17,1
21,13,21,21,1
15,12,18,18,1
12,8,13,12,1
10,5,15,13,1
10,5,14,12,1
13,9,15,14,1
15,9,22,19,1
9,13,18,18,1
15,18,18,19,1
21,14,19,18,1
17,4,18,16,1
11,13,16,16,1
10,6,16,16,1
10,8,18,14,1
15,13,19,17,1
13,8,16,14,1
6,4,12,12,1
11,9,17,16,1
12,13,17,14,1
12,12,17,16,1
16,12,17,16,1
7,6,11,13,1
12,10,16,16,1
17,17,26,31,2
13,9,22,23,2
24,13,26,26,2
17,12,24,22,2
19,13,25,27,2
28,13,29,26,2
5,6,18,21,2
26,12,28,22,2
21,6,25,22,2
25,21,27,31,2
19,16,22,25,2
18,9,23,23,2
22,13,24,26,2
12,6,21,25,2
13,10,22,30,2
18,16,23,28,2
19,13,24,22,2
29,23,30,27,2
29,8,31,28,2
15,3,21,18,2
22,16,25,28,2
11,10,20,25,2
29,10,30,25,2
17,9,20,22,2
21,17,25,26,2
25,16,26,22,2
16,10,20,22,2
15,13,20,22,2
18,10,24,26,2
25,13,25,19,2
27,10,27,23,2
31,23,28,25,2
18,10,24,27,2
17,10,22,18,2
15,8,24,17,2
29,13,27,28,2
17,18,24,30,2
18,14,24,22,2
15,13,20,22,2
22,14,23,26,2
21,14,24,30,2
22,14,22,28,2
13,9,22,23,2
22,16,26,28,2
21,17,25,31,2
21,13,22,28,2
17,6,21,23,2
19,13,22,25,2
16,18,23,28,2
14,13,22,22,2
